publication,terrain_start,terrain_end,institut,commanditaire,poll_id,scenario_id,scenario,candidat,score,echantillon_exprimes,couverture,source_url
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Raphaël Glucksmann,14.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Jean-Luc Mélenchon,13.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Bruno Retailleau,10.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Marine Tondelier,4.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Éric Zemmour,4.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Fabien Roussel,3.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Nicolas Dupont-Aignan,1.5,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-06-01,2026-05-27,2026-05-28,Ipsos bva,Le Parisien / CESI,IPSOS-2026-05,IPSOS-2026-05-ATTAL,Gabriel Attal candidat du centre,Nathalie Arthaud,1.0,1100.0,complet,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-06/presidentielle-2027-intention-vote-mai26-rapport-complet-web.pdf
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Nathalie Arthaud,0.5,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Jean-Luc Mélenchon,15.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
